[FAIL] 319195: 		comparison fail, 8 != 4 === algorithm 'mod11_impl2' 
[FAIL] 149833: 		comparison fail, 9 != 6 === algorithm 'mod11_impl2' 
[FAIL] 1047167: 		comparison fail, 7 != 0 === algorithm 'mod11_impl2' 
[FAIL] 600416: 		comparison fail, 4 != 2 === algorithm 'mod11_impl2' 
[FAIL] 226199: 		comparison fail, 5 != 8 === algorithm 'mod11_impl2' 
[OK] 30464883: 		30464883-3 == algorithm 'mod11_impl2'
[FAIL] 886293: 		comparison fail, 1 != 0 === algorithm 'mod11_impl2' 
[FAIL] 371894: 		comparison fail, 8 != 7 === algorithm 'mod11_impl2' 
[FAIL] 1055048: 		comparison fail, 8 != 1 === algorithm 'mod11_impl2' 
[FAIL] 376011: 		comparison fail, 1 != 3 === algorithm 'mod11_impl2' 
[FAIL] 836861: 		comparison fail, 9 != 5 === algorithm 'mod11_impl2' 
[OK] 85390450: 		85390450-2 == algorithm 'mod11_impl2'
[FAIL] 209015: 		comparison fail, 5 != 7 === algorithm 'mod11_impl2' 
[FAIL] 619551: 		comparison fail, 2 != 5 === algorithm 'mod11_impl2' 
[FAIL] 1069587: 		comparison fail, 7 != 2 === algorithm 'mod11_impl2' 
[FAIL] 229195: 		comparison fail, 9 != 3 === algorithm 'mod11_impl2' 
[FAIL] 276796: 		comparison fail, 1 != 0 === algorithm 'mod11_impl2' 
[FAIL] 29341: 		comparison fail, 5 != 9 === algorithm 'mod11_impl2' 
[FAIL] 336953: 		comparison fail, 6 != 5 === algorithm 'mod11_impl2' 
[FAIL] 99432: 		comparison fail, 4 != 7 === algorithm 'mod11_impl2' 
[FAIL] 338546: 		comparison fail, 9 != 5 === algorithm 'mod11_impl2' 
[OK] 1107733: 		1107733-6 == algorithm 'mod11_impl2'
[FAIL] 1051934: 		comparison fail, 3 != 6 === algorithm 'mod11_impl2' 
[FAIL] 1136902: 		comparison fail, 7 != 2 === algorithm 'mod11_impl2' 
[FAIL] 1102879: 		comparison fail, 3 != 2 === algorithm 'mod11_impl2' 
[FAIL] 263733: 		comparison fail, 2 != 8 === algorithm 'mod11_impl2' 
[OK] 742787: 		742787-5 == algorithm 'mod11_impl2'
[FAIL] 91172: 		comparison fail, 0 != 7 === algorithm 'mod11_impl2' 
[FAIL] 305113: 		comparison fail, 7 != 3 === algorithm 'mod11_impl2' 
[FAIL] 609568: 		comparison fail, 2 != 1 === algorithm 'mod11_impl2' 
[FAIL] 348685: 		comparison fail, 0 != 9 === algorithm 'mod11_impl2' 
[FAIL] 831155: 		comparison fail, 2 != 7 === algorithm 'mod11_impl2' 
[FAIL] 288548: 		comparison fail, 4 != 1 === algorithm 'mod11_impl2' 
[OK] 113005175: 		113005175-4 == algorithm 'mod11_impl2'
[FAIL] 222489: 		comparison fail, 5 != 7 === algorithm 'mod11_impl2' 
[FAIL] 820377: 		comparison fail, 6 != 0 === algorithm 'mod11_impl2' 
[FAIL] 353896: 		comparison fail, 6 != 4 === algorithm 'mod11_impl2' 
[FAIL] 112117: 		comparison fail, 0 != 7 === algorithm 'mod11_impl2' 
[FAIL] 285438: 		comparison fail, 4 != 8 === algorithm 'mod11_impl2' 
[OK] 842133: 		842133-1 == algorithm 'mod11_impl2'
[FAIL] 527921: 		comparison fail, 6 != 1 === algorithm 'mod11_impl2' 
[FAIL] 791069: 		comparison fail, 0 != 8 === algorithm 'mod11_impl2' 
[FAIL] 315425: 		comparison fail, 4 != 9 === algorithm 'mod11_impl2' 
[FAIL] 969842: 		comparison fail, 6 != 4 === algorithm 'mod11_impl2' 
[FAIL] 338064: 		comparison fail, 5 != 9 === algorithm 'mod11_impl2' 
[FAIL] 346330: 		comparison fail, 3 != 4 === algorithm 'mod11_impl2' 
[FAIL] 668170: 		comparison fail, 0 != 4 === algorithm 'mod11_impl2' 
[FAIL] 283057: 		comparison fail, 4 != 8 === algorithm 'mod11_impl2' 
[OK] 1122238: 		1122238-7 == algorithm 'mod11_impl2'
[FAIL] 684952: 		comparison fail, 0 != 5 === algorithm 'mod11_impl2' 
[FAIL] 354062: 		comparison fail, 6 != 2 === algorithm 'mod11_impl2' 
[FAIL] 839816: 		comparison fail, 0 != 6 === algorithm 'mod11_impl2' 
[FAIL] 259723: 		comparison fail, 3 != 5 === algorithm 'mod11_impl2' 
[FAIL] 337125: 		comparison fail, 5 != 9 === algorithm 'mod11_impl2' 
[FAIL] 1020081: 		comparison fail, 9 != 4 === algorithm 'mod11_impl2' 
[FAIL] 306004: 		comparison fail, 7 != 3 === algorithm 'mod11_impl2' 
[FAIL] 1036360: 		comparison fail, 2 != 4 === algorithm 'mod11_impl2' 
[FAIL] 238764: 		comparison fail, 6 != 5 === algorithm 'mod11_impl2' 
[FAIL] 286872: 		comparison fail, 5 != 7 === algorithm 'mod11_impl2' 
[OK] 80689326: 		80689326-5 == algorithm 'mod11_impl2'
[FAIL] 831178: 		comparison fail, 1 != 9 === algorithm 'mod11_impl2' 
[OK] 115963: 		115963-1 == algorithm 'mod11_impl2'
[OK] 38624: 		38624-3 == algorithm 'mod11_impl2'
[OK] 30432: 		30432-8 == algorithm 'mod11_impl2'
[OK] 9410: 		9410-2 == algorithm 'mod11_impl2'
[FAIL] 299920: 		comparison fail, 0 != 1 === algorithm 'mod11_impl2' 
[FAIL] 109560: 		comparison fail, 9 != 3 === algorithm 'mod11_impl2' 
[FAIL] 125139: 		comparison fail, 2 != 6 === algorithm 'mod11_impl2' 
[FAIL] 52308: 		comparison fail, 9 != 4 === algorithm 'mod11_impl2' 
[FAIL] 125429: 		comparison fail, 4 != 1 === algorithm 'mod11_impl2' 
[FAIL] 63734: 		comparison fail, 3 != 8 === algorithm 'mod11_impl2' 
[FAIL] 133652: 		comparison fail, 5 != 8 === algorithm 'mod11_impl2' 
[OK] 122670: 		122670-3 == algorithm 'mod11_impl2'
[FAIL] 109778: 		comparison fail, 4 != 1 === algorithm 'mod11_impl2' 
===== mod11_impl2 result =====
acertos = 13

[FAIL] 252244: 		comparison fail, 0 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 925507: 		comparison fail, 3 != 6 === algorithm 'mod11_reverse_impl1' 
[OK] 319195: 		319195-4 == algorithm 'mod11_reverse_impl1'
[FAIL] 149833: 		comparison fail, 3 != 6 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1047167: 		comparison fail, 8 != 0 === algorithm 'mod11_reverse_impl1' 
[FAIL] 600416: 		comparison fail, 8 != 2 === algorithm 'mod11_reverse_impl1' 
[FAIL] 226199: 		comparison fail, 9 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 30464883: 		comparison fail, 8 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 886293: 		comparison fail, 5 != 0 === algorithm 'mod11_reverse_impl1' 
[FAIL] 371894: 		comparison fail, 1 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1055048: 		comparison fail, 4 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 376011: 		comparison fail, 2 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 836861: 		comparison fail, 0 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 85390450: 		comparison fail, 9 != 2 === algorithm 'mod11_reverse_impl1' 
[OK] 209015: 		209015-7 == algorithm 'mod11_reverse_impl1'
[FAIL] 619551: 		comparison fail, 8 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1069587: 		comparison fail, 7 != 2 === algorithm 'mod11_reverse_impl1' 
[OK] 229195: 		229195-3 == algorithm 'mod11_reverse_impl1'
[FAIL] 276796: 		comparison fail, 7 != 0 === algorithm 'mod11_reverse_impl1' 
[FAIL] 29341: 		comparison fail, 8 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 336953: 		comparison fail, 8 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 99432: 		comparison fail, 0 != 7 === algorithm 'mod11_reverse_impl1' 
[OK] 338546: 		338546-5 == algorithm 'mod11_reverse_impl1'
[FAIL] 1107733: 		comparison fail, 5 != 6 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1051934: 		comparison fail, 9 != 6 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1136902: 		comparison fail, 4 != 2 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1102879: 		comparison fail, 3 != 2 === algorithm 'mod11_reverse_impl1' 
[FAIL] 263733: 		comparison fail, 2 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 742787: 		comparison fail, 0 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 91172: 		comparison fail, 5 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 305113: 		comparison fail, 8 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 609568: 		comparison fail, 0 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 348685: 		comparison fail, 2 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 831155: 		comparison fail, 0 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 288548: 		comparison fail, 0 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 113005175: 		comparison fail, 3 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 222489: 		comparison fail, 5 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 820377: 		comparison fail, 4 != 0 === algorithm 'mod11_reverse_impl1' 
[FAIL] 353896: 		comparison fail, 7 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 112117: 		comparison fail, 4 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 285438: 		comparison fail, 1 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 842133: 		comparison fail, 8 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 527921: 		comparison fail, 2 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 791069: 		comparison fail, 0 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 315425: 		comparison fail, 3 != 9 === algorithm 'mod11_reverse_impl1' 
[OK] 969842: 		969842-4 == algorithm 'mod11_reverse_impl1'
[FAIL] 338064: 		comparison fail, 0 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 346330: 		comparison fail, 2 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 668170: 		comparison fail, 1 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 283057: 		comparison fail, 2 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1122238: 		comparison fail, 1 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 684952: 		comparison fail, 2 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 354062: 		comparison fail, 1 != 2 === algorithm 'mod11_reverse_impl1' 
[FAIL] 839816: 		comparison fail, 5 != 6 === algorithm 'mod11_reverse_impl1' 
[FAIL] 259723: 		comparison fail, 9 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 337125: 		comparison fail, 4 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1020081: 		comparison fail, 3 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 306004: 		comparison fail, 8 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 1036360: 		comparison fail, 6 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 238764: 		comparison fail, 0 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 286872: 		comparison fail, 6 != 7 === algorithm 'mod11_reverse_impl1' 
[FAIL] 80689326: 		comparison fail, 6 != 5 === algorithm 'mod11_reverse_impl1' 
[FAIL] 831178: 		comparison fail, 0 != 9 === algorithm 'mod11_reverse_impl1' 
[FAIL] 115963: 		comparison fail, 5 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 38624: 		comparison fail, 0 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 30432: 		comparison fail, 6 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 9410: 		comparison fail, 0 != 2 === algorithm 'mod11_reverse_impl1' 
[FAIL] 299920: 		comparison fail, 8 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 109560: 		comparison fail, 0 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 125139: 		comparison fail, 7 != 6 === algorithm 'mod11_reverse_impl1' 
[FAIL] 52308: 		comparison fail, 1 != 4 === algorithm 'mod11_reverse_impl1' 
[FAIL] 125429: 		comparison fail, 9 != 1 === algorithm 'mod11_reverse_impl1' 
[FAIL] 63734: 		comparison fail, 0 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 133652: 		comparison fail, 2 != 8 === algorithm 'mod11_reverse_impl1' 
[FAIL] 122670: 		comparison fail, 0 != 3 === algorithm 'mod11_reverse_impl1' 
[FAIL] 109778: 		comparison fail, 5 != 1 === algorithm 'mod11_reverse_impl1' 
===== mod11_reverse_impl1 result =====
acertos = 5

[FAIL] 252244: 		comparison fail, 0 != 9 === algorithm 'mod11_reverse_impl2' 
[FAIL] 925507: 		comparison fail, 3 != 6 === algorithm 'mod11_reverse_impl2' 
[OK] 319195: 		319195-4 == algorithm 'mod11_reverse_impl2'
[FAIL] 149833: 		comparison fail, 3 != 6 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1047167: 		comparison fail, 8 != 0 === algorithm 'mod11_reverse_impl2' 
[FAIL] 600416: 		comparison fail, 8 != 2 === algorithm 'mod11_reverse_impl2' 
[FAIL] 226199: 		comparison fail, 9 != 8 === algorithm 'mod11_reverse_impl2' 
[FAIL] 30464883: 		comparison fail, 8 != 3 === algorithm 'mod11_reverse_impl2' 
[FAIL] 886293: 		comparison fail, 5 != 0 === algorithm 'mod11_reverse_impl2' 
[FAIL] 371894: 		comparison fail, 1 != 7 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1055048: 		comparison fail, 4 != 1 === algorithm 'mod11_reverse_impl2' 
[FAIL] 376011: 		comparison fail, 2 != 3 === algorithm 'mod11_reverse_impl2' 
[FAIL] 836861: 		comparison fail, 0 != 5 === algorithm 'mod11_reverse_impl2' 
[FAIL] 85390450: 		comparison fail, 9 != 2 === algorithm 'mod11_reverse_impl2' 
[OK] 209015: 		209015-7 == algorithm 'mod11_reverse_impl2'
[FAIL] 619551: 		comparison fail, 8 != 5 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1069587: 		comparison fail, 7 != 2 === algorithm 'mod11_reverse_impl2' 
[OK] 229195: 		229195-3 == algorithm 'mod11_reverse_impl2'
[FAIL] 276796: 		comparison fail, 7 != 0 === algorithm 'mod11_reverse_impl2' 
[FAIL] 29341: 		comparison fail, 8 != 9 === algorithm 'mod11_reverse_impl2' 
[FAIL] 336953: 		comparison fail, 8 != 5 === algorithm 'mod11_reverse_impl2' 
[FAIL] 99432: 		comparison fail, 0 != 7 === algorithm 'mod11_reverse_impl2' 
[OK] 338546: 		338546-5 == algorithm 'mod11_reverse_impl2'
[FAIL] 1107733: 		comparison fail, 5 != 6 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1051934: 		comparison fail, 9 != 6 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1136902: 		comparison fail, 4 != 2 === algorithm 'mod11_reverse_impl2' 
[FAIL] 1102879: 		comparison fail, 3 != 2 === algorithm 'mod11_reverse_impl2' 
[FAIL] 263733: 		comparison fail, 2 != 8 === algorithm 'mod11_reverse_impl2' 
[FAIL] 742787: 		comparison fail, 0 != 5 === algorithm 'mod11_reverse_impl2' 
[FAIL] 91172: 		comparison fail, 5 != 7 === algorithm 'mod11_reverse_impl2' 
[FAIL] 305113: 		comparison fail, 8 != 3 === algorithm 'mod11_reverse_impl2' 
[FAIL] 609568: 		comparison fail, 0 != 1 === algorithm 'mod11_reverse_impl2' 
[FAIL] 348685: 		comparison fail, 2 != 9 === algorithm 'mod11_reverse_impl2' 
[FAIL] 831155: 		comparison fail, 0 != 7 === algorithm 'mod11_reverse_impl2' 
[FAIL] 288548: 		comparison fail, 0 != 1 === algorithm 'mod11_reverse_impl2' 
[FAIL] 113005175: 		comparison fail, 0 != 4 === algorithm 'mod11_reverse_impl2' 
[FAIL] 222489: 		comparison fail, 5 != 7 === algorithm 'mod11_reverse_impl2' 
[FAIL] 820377: 		comparison fail, 4 != 0 === algorithm 'mod11_reverse_impl2' 
[FAIL] 353896: 		comparison fail, 7 != 4 === algorithm 'mod11_reverse_impl2' 
[FAIL] 112117: 		comparison fail, 4 != 7 === algorithm 'mod11_reverse_impl2' 
[FAIL] 285438: 		comparison fail, 1 != 8 === algorithm 'mod11_reverse_impl2' 
[FAIL] 842133: 		comparison fail, 8 != 1 === algorithm 'mod11_reverse_impl2' 
[FAIL] 527921: 		comparison fail, 2 != 1 === algorithm 'mod11_reverse_impl2' 
[FAIL] 791069: 		comparison fail, 0 != 8 === algorithm 'mod11_reverse_impl2' 
[FAIL] 315425: 		comparison fail, 3 != 9 === algorithm 'mod11_reverse_impl2' 
